,ProductID,Quantity,Discount,SalesDate,SalesTime
32,291,11,0.0,56,511
133,291,9,0.1,92,1351
824,291,25,0.0,1,744
1217,291,11,0.0,120,722
1552,291,17,0.0,10,955
2977,291,18,0.1,72,1073
3916,291,20,0.1,98,704
4629,291,7,0.1,11,426
4710,291,9,0.0,60,430
7267,291,1,0.0,85,609
7758,291,3,0.2,87,139
8388,291,23,0.0,128,1379
11386,291,23,0.0,68,492
11402,291,6,0.2,0,1392
11849,291,2,0.0,107,1232
11883,291,25,0.0,33,1384
12295,291,25,0.2,102,938
12339,291,6,0.0,27,1263
12460,291,14,0.1,121,243
12613,291,23,0.0,35,1322
14652,291,9,0.1,118,715
14871,291,2,0.2,79,78
15419,291,4,0.0,15,185
16517,291,10,0.0,117,806
16543,291,22,0.0,102,547
16797,291,24,0.0,110,266
16811,291,19,0.0,118,1060
17093,291,15,0.0,111,369
17202,291,5,0.0,112,456
17586,291,24,0.2,59,1084
17621,291,5,0.2,108,915
18586,291,15,0.0,106,1128
18948,291,6,0.1,60,197
19858,291,1,0.0,44,627
20501,291,3,0.0,60,242
21093,291,16,0.1,123,1235
21269,291,25,0.2,116,842
23121,291,5,0.2,62,434
23757,291,4,0.0,37,936
23892,291,10,0.0,109,384
24113,291,10,0.0,45,1023
25302,291,2,0.2,9,710
25510,291,10,0.0,62,52
25539,291,9,0.2,31,107
26250,291,19,0.0,22,1220
26413,291,11,0.1,94,1179
28453,291,4,0.0,89,1183
28875,291,17,0.1,127,6
29983,291,25,0.0,45,849
31740,291,6,0.0,28,596
33090,291,14,0.2,10,41
34426,291,7,0.0,14,802
34600,291,3,0.0,6,651
35097,291,5,0.1,96,700
35245,291,8,0.0,108,663
35345,291,1,0.0,121,1361
36784,291,12,0.1,38,24
37539,291,15,0.0,8,531
38188,291,18,0.0,41,1332
38788,291,17,0.0,7,927
39464,291,5,0.0,63,1383
39703,291,24,0.0,118,1194
39765,291,14,0.0,31,0
40364,291,10,0.0,9,1367
41016,291,11,0.0,24,437
41138,291,2,0.0,2,742
41712,291,12,0.0,104,647
42258,291,13,0.1,39,1062
42714,291,18,0.0,112,697
42915,291,12,0.0,1,1298
43821,291,3,0.0,77,1194
43983,291,8,0.0,119,812
46194,291,24,0.0,101,1256
46943,291,9,0.0,45,1068
47299,291,10,0.2,45,844
47683,291,1,0.0,89,116
47827,291,16,0.0,63,687
48614,291,4,0.0,47,927
49335,291,25,0.2,122,790
49526,291,8,0.2,29,22
49925,291,3,0.0,115,15
50147,291,25,0.0,55,132
52152,291,15,0.0,51,135
53228,291,13,0.1,99,1302
53264,291,18,0.0,77,506
53372,291,11,0.2,86,427
54072,291,19,0.0,126,864
54109,291,5,0.0,127,321
54387,291,9,0.0,7,104
55015,291,17,0.0,59,1246
56085,291,3,0.0,35,684
56325,291,19,0.1,0,1150
57159,291,10,0.0,111,573
57837,291,13,0.0,3,882
58374,291,2,0.0,5,1171
59454,291,22,0.2,19,156
60086,291,18,0.0,110,1106
60288,291,13,0.1,19,643
60639,291,14,0.0,78,558
60757,291,13,0.2,93,1010
61051,291,8,0.1,125,821
61089,291,7,0.0,59,971
61888,291,24,0.0,71,1427
62099,291,5,0.0,90,1130
62772,291,4,0.0,69,1069
63324,291,16,0.0,89,1412
63867,291,18,0.0,39,890
64144,291,17,0.0,127,561
64418,291,6,0.2,17,1356
64421,291,4,0.0,72,1368
64490,291,12,0.0,119,893
65930,291,6,0.0,46,525
