Quantity,Discount,SalesDate,SalesTime
11,0,56,511
9,0.1,92,1351
25,0,1,744
11,0,120,722
17,0,10,955
18,0.1,72,1073
20,0.1,98,704
7,0.1,11,426
9,0,60,430
1,0,85,609
3,0.2,87,139
23,0,128,1379
23,0,68,492
6,0.2,0,1392
2,0,107,1232
25,0,33,1384
25,0.2,102,938
6,0,27,1263
14,0.1,121,243
23,0,35,1322
9,0.1,118,715
2,0.2,79,78
4,0,15,185
10,0,117,806
22,0,102,547
24,0,110,266
19,0,118,1060
15,0,111,369
5,0,112,456
24,0.2,59,1084
5,0.2,108,915
15,0,106,1128
6,0.1,60,197
1,0,44,627
3,0,60,242
16,0.1,123,1235
25,0.2,116,842
5,0.2,62,434
4,0,37,936
10,0,109,384
10,0,45,1023
2,0.2,9,710
10,0,62,52
9,0.2,31,107
19,0,22,1220
11,0.1,94,1179
4,0,89,1183
17,0.1,127,6
25,0,45,849
6,0,28,596
14,0.2,10,41
7,0,14,802
3,0,6,651
5,0.1,96,700
8,0,108,663
1,0,121,1361
12,0.1,38,24
15,0,8,531
18,0,41,1332
17,0,7,927
5,0,63,1383
24,0,118,1194
14,0,31,0
10,0,9,1367
11,0,24,437
2,0,2,742
12,0,104,647
13,0.1,39,1062
18,0,112,697
12,0,1,1298
3,0,77,1194
8,0,119,812
24,0,101,1256
9,0,45,1068
10,0.2,45,844
1,0,89,116
16,0,63,687
4,0,47,927
25,0.2,122,790
8,0.2,29,22
3,0,115,15
25,0,55,132
15,0,51,135
13,0.1,99,1302
18,0,77,506
11,0.2,86,427
19,0,126,864
5,0,127,321
9,0,7,104
17,0,59,1246
3,0,35,684
19,0.1,0,1150
10,0,111,573
13,0,3,882
2,0,5,1171
22,0.2,19,156
18,0,110,1106
13,0.1,19,643
14,0,78,558
13,0.2,93,1010
8,0.1,125,821
7,0,59,971
24,0,71,1427
5,0,90,1130
4,0,69,1069
16,0,89,1412
18,0,39,890
17,0,127,561
6,0.2,17,1356
4,0,72,1368
12,0,119,893
6,0,46,525
4,0.2,33,318
8,0,104,491
10,0,98,669
25,0,95,155
19,0.2,60,304
19,0,103,1366
9,0.2,50,680
12,0,52,132
6,0.2,20,1023
11,0.2,3,919
20,0,65,307
4,0,105,1146
15,0,108,471
16,0,7,1084
14,0,45,160
2,0,62,98
17,0,30,317
20,0.1,101,208
17,0,26,895
25,0,44,710
10,0.2,52,396
19,0.2,28,935
4,0,62,1264
3,0,16,232
14,0,44,861
8,0,32,1056
24,0,100,753
25,0,46,1186
12,0.1,1,198
21,0,80,741
17,0,106,1304
24,0,123,725
15,0,123,1067
22,0,26,312
17,0,98,196
8,0,20,1318
3,0,56,1432
20,0,20,998
9,0,115,1111
17,0,61,950
1,0,91,151
3,0,22,980
15,0,104,1112
14,0,43,730
7,0,4,809
25,0,54,736
1,0,40,163
7,0,16,1231
25,0,101,514
15,0,118,178
21,0,49,1363
12,0,71,93
24,0,105,455
24,0,10,760
11,0.2,113,838
21,0,71,233
17,0,68,587
23,0,106,886
23,0.2,5,1311
4,0,38,1007
18,0,46,953
23,0,73,637
7,0,80,870
1,0,21,1406
17,0,111,281
3,0,59,1432
9,0,72,129
6,0,90,759
17,0.1,104,92
10,0,59,1304
18,0,1,1199
20,0.1,1,520
21,0,104,193
9,0.1,39,1132
25,0,31,209
1,0,34,921
19,0,13,1050
13,0,78,28
17,0,122,516
18,0,124,272
19,0.2,9,1142
24,0,24,1044
6,0,2,751
19,0,21,302
14,0,59,588
4,0,75,691
13,0.2,99,1102
22,0,61,1110
19,0,62,15
7,0,66,830
13,0.2,80,9
6,0.2,2,1161
13,0,103,346
25,0.2,123,332
24,0.1,96,852
5,0,109,1096
2,0,92,1229
1,0,12,1049
24,0,85,139
7,0,110,1219
11,0,44,326
16,0.1,51,227
16,0,75,296
18,0.2,18,527
15,0.1,33,7
22,0,92,124
11,0,59,1213
20,0,5,122
17,0.1,47,797
6,0,13,1206
6,0,35,241
4,0,79,394
19,0.1,121,250
3,0.1,116,1398
13,0,100,1205
12,0,64,477
16,0.1,109,1278
25,0.2,82,381
3,0,98,558
2,0,112,692
5,0.2,86,234
17,0,113,113
20,0,97,76
14,0,0,1076
14,0,59,1042
7,0,65,108
4,0.1,70,1437
7,0,92,653
1,0,111,483
9,0,82,642
24,0,127,899
24,0,13,78
22,0.2,72,1217
18,0.1,119,866
12,0.1,35,1287
13,0,43,1116
2,0,56,723
6,0,77,942
2,0,12,515
21,0,91,961
10,0,71,582
18,0,111,883
12,0,22,1406
18,0,121,687
18,0,84,921
23,0.1,19,408
17,0,46,851
8,0,58,535
5,0,125,1097
18,0,108,1419
19,0,6,923
18,0,58,1170
20,0,29,1391
14,0,122,138
23,0.1,63,726
20,0,94,1008
2,0.1,59,1416
6,0,97,639
10,0,86,10
7,0,91,469
3,0.1,84,191
3,0,101,229
20,0,23,908
23,0,47,675
17,0,37,1175
12,0,48,55
3,0,96,1429
3,0,29,127
3,0,83,1152
16,0,39,113
19,0,16,269
8,0,11,465
16,0,81,1099
8,0.2,120,8
4,0,121,685
2,0.1,65,867
8,0.2,3,6
16,0,44,1004
13,0,90,582
23,0,123,12
13,0,10,1194
7,0.2,69,1319
21,0.1,50,177
2,0.2,18,33
25,0.1,105,399
19,0,124,778
6,0,115,713
17,0.2,5,1228
5,0,49,1294
12,0.2,123,1317
6,0.2,92,444
21,0,66,336
16,0.1,31,343
23,0,128,498
18,0,95,1116
14,0,53,458
15,0,9,909
25,0,99,588
13,0,45,1401
16,0,98,1019
4,0,21,549
2,0.2,22,1309
18,0.1,124,1430
15,0,42,1063
13,0,44,1137
10,0.1,40,1088
15,0,97,536
4,0,61,1408
10,0,35,272
9,0,78,902
12,0.2,69,1204
16,0,30,546
10,0,22,471
24,0,56,1430
16,0.1,26,1271
20,0,13,911
3,0,112,286
4,0,102,1156
22,0,1,675
13,0,40,86
22,0.2,96,438
13,0,85,1073
25,0,24,151
8,0.1,60,1138
15,0,125,578
8,0,4,1250
16,0,23,899
22,0,23,1023
7,0.2,92,253
11,0,14,1195
9,0.2,58,348
4,0,75,778
11,0,58,1088
2,0.1,49,809
9,0.2,115,643
23,0,50,254
13,0,8,1021
12,0,48,445
11,0.1,102,631
5,0,48,1313
2,0,115,799
21,0,88,995
19,0.1,12,897
21,0,59,1304
9,0,120,859
16,0,82,1248
12,0.2,128,1128
12,0,33,1122
20,0.1,124,940
16,0,75,1223
4,0,117,349
3,0,13,900
